,0,1,2,3,4,5,6,7,8,9,10
0, , , , , , ,China, , , , 
1,News,Trump,subscribe,President,people,News, ,China,News,News,News
2,Ukraine,President,Facebook,China,Sudan,  ,Chinese,Ukraine,Biden,Trump,Ukraine
3,Russia,Donald,News,Ukraine,News,Biden,President,Russian,  ,discuss,Trump
4,China,News,  ,News,killed,Trump,Xi,Russia,Trump,Biden,President
5,people,Biden,whistleblower,Russia,country,host,Beijing,News,discuss,  ,Russia
6,Sudan,House,social,Chinese,Ukraine,President,said,Chinese,President,news,China
7,Russian,charges,media,Xi,fighting,Watters,Foreign,said,R,latest,people
8,President,documents,Facebook:,Sudan,capital,Jesse,Minister,President,co,President,war
9,Newsfeed,New,Welcome,Minister,Russia,Hannity,Jinping,Sudan,Rep.,Ukraine,world
10,war,classified,Trump,Russian,says,discuss,Thursday,says,host,\u0026,says
11,said,president,weigh,war,India,Video,Province,people,Gutfeld,joined,Donald
12,year,says,IRS,said,government,Gutfeld,Tuesday,military,hosts,Friends,country
13,killed,federal,Biden,says,year,Tucker,Monday,killed,House,discusses,years
14,Ukrainian,Russia,says,military,Russian,discusses,Wednesday,United,Watters,new,new
15,world,York,Pentagon,country,city,Tonight,space,attack,discusses,House,Russian
16,military,Florida,secret,Central,military,Carlson,Friday,city,Sen.,says,Biden
17,years,Ukraine,intelligence,leader,new,Ingraham,Taiwan,Minister,Jesse,Russia,United
18,country,court,security,Turkey,years,Primetime,held,Israeli,Hunter,joins,government
19,says,indictment,government,Erdogan,thousands,House,Space,new,joined,Donald,Europe
